LogCopies,Well Positions
2.491225922,A1
2.600796325,A2
2.774083639,A3
2.475828538,A4
2.407657587,A5
2.872566807,A6
1.899893736,A7
0,A8
2.892971523,A9
0,A10
0,A11
0,A12
3.57801254,B1
4.133367727,B2
5.096631503,B3
4.882228608,B4
0,B5
0,B6
4.104385161,B7
0,B8
5.662024536,B9
0,B10
0,B11
0,B12
4.367189766,C1
5.399556784,C2
6.570252202,C3
5.632324314,C4
0,C5
0,C6
0,C7
0,C8
6.718518807,C9
0,C10
0,C11
0,C12
5.141912736,D1
6.496577519,D2
6.827080458,D3
0,D4
0,D5
0,D6
0,D7
0,D8
0,D9
0,D10
0,D11
0.43313893,D12
0.573260867,E1
0.299086961,E2
0.191533158,E3
0,E4
0,E5
0,E6
-1.018852764,E7
0,E8
0.339018289,E9
0,E10
0,E11
0,E12
0.106297418,F1
-0.195731997,F2
-1.188812493,F3
-0.126944837,F4
0,F5
-0.05812938,F6
0,F7
0,F8
-0.385734605,F9
0,F10
0,F11
0,F12
1.299848539,G1
0,G2
-0.042936396,G3
0,G4
0,G5
-0.864899702,G6
0,G7
0,G8
0,G9
0,G10
0,G11
0,G12
2.112530488,H1
5.580088385,H2
1.627161162,H3
3.900475269,H4
2.085211715,H5
2.10452309,H6
1.900406992,H7
1.832707755,H8
1.364186475,H9
0,H10
0,H11
0,H12
